"","upNm","pgmNm","targetNm","price"
"68","금천청소년수련관","매화C(6회)","주6회(구)","73700"
"69","동대문청소년수련관","야간수영-중급","중.고등학생","43000"
"70","동대문청소년수련관","야간수영-초급","청소년","49500"
"71","동대문청소년수련관","오전수영B-연수","중.고등학생","32000"
"72","금천청소년수련관","단기속성(월,수,금)-6시","성인(25세이상)","149240"
"73","금천청소년수련관","점핑하이(월수금)10시","초등~24세미만","50000"
"74","화곡청소년센터","홍익창의아트워크B-목-17시(초1-초3)","초등","30000"
"75","창동청소년센터","스토리타임(5~7세)-11시","3세~6세","40000"
"76","잠실청소년센터","키즈클라이밍A","유아6-7세","35000"
"77","잠실청소년센터","키즈클라이밍B","초등 저","35000"
"78","창동청소년센터","꿈을빚다 굽지않은도자기-도예토공예12/14일A(7세~초등)","5세~12세","10000"
"79","시립목동청소년센터","초급포토샵,일러스트","성인","117000"
"80","동대문청소년수련관","아침수영C-상급","중.고등학생","57000"
"81","금천청소년수련관","매화C(5회)-청소년","초.중.고","56000"
"82","잠실청소년센터","(5/2) 뚝딱뚝딱나무소품만들기","청소년","8750"
"83","중구청소년수련관","[11월]주말농구대관(윤종윤)11월16일","구분없음","220000"
"84","중구청소년수련관","[11월]주말농구대관(윤종윤)11월23일","구분없음","121000"
"85","중구청소년수련관","[11월]주말농구대관(윤종윤)11월2일 ","구분없음","110000"
"86","창동청소년센터","매듭공예 12/15A(초등)","5세~12세","10000"
"87","중구청소년수련관","[11월]주말농구대관(이진호)","구분없음","275000"
"88","금천청소년수련관","난초A상급-청소년","강습3+자유3","60000"
"89","금천청소년수련관","난초A중급-청소년","강습3+자유3","60000"
"90","금천청소년수련관","돌고래","초등학생","36000"
"91","중구청소년수련관","[11월]주말농구대관(장업용)","구분없음","165000"
"92","중구청소년수련관","[11월]주말농구대관(조성제)","구분없음","110000"
"93","중구청소년수련관","[11월]주말농구대관(최대욱)","구분없음","330000"
"94","중구청소년수련관","[11월]평일극장대관(김영란)","구분없음","319000"
"95","중구청소년수련관","[11월]평일극장대관(민진암)","구분없음","220000"
"96","시립강동청소년센터","점핑다이어트(성인/화목10:10-11:00)","청소년","60000"
"97","시립성북청소년센터","청소년수영 B16","초등생","30000"
"98","금천청소년수련관","물개유아B","만5세~초3","26000"
"99","창동청소년센터","토요홍익미술연구소A(5~7세)","5세~7세","30000"
"100","동대문청소년수련관","아침수영C-상급(화목)","중.고등학생","32000"
"101","금천청소년수련관","매화A 상급","성인(25세이상)","51700"
"102","금천청소년수련관","매화A 상급","강습3+자유3 (구)","69300"
"103","금천청소년수련관","매화A 중급","성인(25세이상)","51700"
"104","금천청소년수련관","매화A 중급","강습3+자유3 (구)","69300"
"105","금천청소년수련관","매화A 초급","성인(25세이상)","51700"
"106","금천청소년수련관","매화A","초4~24세미만","41000"
"107","금천청소년수련관","매화A 초급","강습3+자유3 (구)","69300"
"108","금천청소년수련관","매화C연수-청소년","초.중.고","56000"
"109","금천청소년수련관","매화A(3+3)","초4~24세미만","60000"
"110","구로청소년수련관","19시 수영(월 수 금)-초급","중고생","34000"
"111","구로청소년수련관","비욘드스쿨","중고생","611000"
"112","금천청소년수련관","매화C(6회)","초4~24세미만","60000"
"113","금천청소년수련관","백합A","초4~24세미만","41000"
"114","금천청소년수련관","점핑하이(월수금)11시","초등~24세미만","50000"
"115","금천청소년수련관","백합C(5회)","초4~24세미만","56000"
"116","금천청소년수련관","백합C(6회)","초4~24세미만","60000"
"117","금천청소년수련관","난초A-청소년","주3회수영-청소년(구)","41000"
"118","금천청소년수련관","새벽B","초4~24세미만","36000"
"119","금천청소년수련관","새벽B(2+4)","초4~24세미만","56000"
"120","금천청소년수련관","새벽C(5회)","초4~24세미만","56000"
"121","금천청소년수련관","신나는 탁구교실(성인)","성인(25세이상)","77000"
"122","금천청소년수련관","새벽C(6회)","초4~24세미만","60000"
"123","금천청소년수련관","신나는 탁구교실(청소년)","24세미만","70000"
"124","중구청소년수련관","[방특]코딩수학","구분없음","45000"
"125","창동청소년센터","9/7 꿈을빚다Ⅰ-도예토B(7세~초등)","5세~12세","5000"
"126","시립수서청소년센터","1차방특[이경아]종합체육교실(초등생)-금10시","구분없음","17500"
"127","창동청소년센터","주판셈놀이C(7세~초등생)-EBS주산수리샘","4세~15세","30000"
"128","금천청소년수련관","단기속성(토)-12시","24세미만","37500"
"129","창동청소년센터","매듭공예 12/15B(초등)","5세~12세","10000"
"130","금천청소년수련관","물개A 상급-성인","성인여성(구)","51700"
"131","시립성북청소년센터","민화 (성인)","성인남녀","30000"
"132","동대문청소년수련관","아침수영C-연수","청소년","70200"
"133","금천청소년수련관","단기속성(토)-12시","성인(25세이상)","55000"
"134","금천청소년수련관","매화C(6회)-청소년","초.중.고","60000"
"135","잠실청소년센터","키즈클라이밍C","유아6-7세","35000"
"136","마포청소년수련관","초등A-상급3(월수금16시)","초등학생","45000"
"137","시립목동청소년센터","-소그룹유아수영A(월수금)","5~6세","98000"
"138","마포청소년수련관","방특_초4 교과과학 실험교실 (화09시)","초4-초6","35000"
"139","시립목동청소년센터","8-7,8 개념수학-예비초2 (금) 01/03~01/17","초1","80000"
"140","시립수서청소년센터","수박놀이터 4차","청소년","25000"
"141","시립성북청소년센터","우쿨렐레&평일기타B","성인남녀","39000"
"142","시립성북청소년센터","우쿨렐레&평일기타B","청소년","35000"
"143","송파청소년수련관","방과후농구소수스킬트레이닝(목17시/초4~중등/체육관/12회)	","청소년(3개월)","120000"
"144","금천청소년수련관","실력향상 탁구교실(성인)","성인(25세이상)","55000"
"145","금천청소년수련관","실력향상 탁구교실(청소년)","24세미만","50000"
"146","광진청소년수련관","라인댄스(초급&중급)D","2개월","44000"
"147","동대문청소년수련관","어린이수영D-중급","초등생","32000"
"148","성동청소년센터","SNPE바른자세 척추운동B: 금20시30분","초등-성인","33000"
"149","","(단기특강)어린이 필라테스교실","유아-초등","40000"
"150","","배드민턴 교실","중등-성인","40000"
"151","창동청소년센터","스토리타임(7세~초등2)-10시","5세~9세","40000"
"152","창동청소년센터","바이올린A(초등생)-나만의레퍼토리1~2곡완성","구분없음","700000"
"153","창동청소년센터","바이올린첫걸음A(초등생)-기초마스터","구분없음","70000"
"154","시립성북청소년센터","맞춤형힐링상담 2형","구분없음","5000"
"155","동대문청소년수련관","단기속성4","구분없음","90000"
"156","창동청소년센터","9/7꿈을빚다Ⅰ-도예토A(7세~초등)","5세~12세","5000"
"157","성동청소년센터","밸리댄스(중급): 화목20시","초등-성인","42000"
"158","동대문청소년수련관","아침수영B-중급","청소년","70200"
"159","서대문청소년수련관","(레벨6)Prime Brick","레벨테스트","175000"
"160","서대문청소년수련관","(레벨7)Prime Master","레벨테스트","180000"
"161","잠실청소년센터","<겨울방특>K-pop댄스A","초등 고","52500"
"162","서대문청소년수련관","(레벨9)Prime 입시","중3~고등","150000"
"163","서대문청소년수련관","(원데이) 나뭇잎 퍼즐접시 만들기(도예)","성인","7000"
"164","서대문청소년수련관","(원데이) 포그니 울사 브로치","성인","7000"
"165","잠실청소년센터","<겨울방특>리코더A","초등 저","52500"
"166","창동청소년센터","9/8베이킹클래스-레몬마들렌(성인)","성인","5000"
"167","마포청소년수련관","아침A-중급(월수금06시)-4월분","성인","50400"
"168","서대문청소년수련관","바른자세운동 SNPE B","누구나","50000"
"169","서대문청소년수련관","바른자세운동 SNPE C","누구나","60000"
"170","마포청소년수련관","아침E-상급(월수금08시)-4월","성인","50400"
"171","마포청소년수련관","아쿠아로빅F(화목21시)[신규]","성인","47300"
"172","마포청소년수련관","아쿠아로빅F(화목21시)[신규]","청소년","37000"
"173","마포청소년수련관","아쿠아로빅G(화목13시)[신규]","성인","47300"
"174","마포청소년수련관","오전D-고급2(월수금11시)XXX","성인","50400"
"175","잠실청소년센터","현대무용A","청소년","105000"
"176","창동청소년센터","민화(청소년~성인)-10시","청소년","35000"
"177","마포청소년센터","재미있는통기타교실(토11시)","성인","39000"
"178","금천청소년수련관","아침B-청소년","강습2+자유4(구)","56000"
"179","창동청소년센터","베이킹클래스(버터링쿠키)12/07(성인)","성인","20000"
"180","동대문청소년수련관","단기속성7","초등생","90000"
"181","시립서대문청소년센터","방학) 내 손안의 작은 피아노 칼림바(B)","초등학생","35000"
"182","동대문청소년수련관","아침수영A-중급(월수금)","청소년","49500"
"183","동대문청소년수련관","아침수영B-중급(화목)","중.고등학생","32000"
"184","창동청소년센터","달콤한디저트A(중1~성인)-다쿠아즈&에그타르트, 2/26일","구분없음","50000"
"185","창동청소년센터","베이킹클래스(버터링쿠키)12/08(성인)","성인","20000"
"186","창동청소년센터","베이킹클래스(치즈머핀)12/22(성인)","성인","20000"
"187","마포청소년수련관","유아B-초급1(화목15시)","6세-초1","37000"
"188","마포청소년수련관","유아B-초급2(화목15시)","6세-초1","37000"
"189","창동청소년센터","민화(청소년~성인)-오후1시","청소년","35000"
"190","동대문청소년수련관","미술치료","구분없음","35000"
"191","동대문청소년수련관","아침수영B-초급","청소년","70200"
"192","광진청소년센터","라인댄스(입문)C","3개월","66000"
"193","광진청소년센터","라인댄스(초급&중급)B","3개월","66000"
"194","광진청소년센터","라인댄스(초급&중급)D","3개월","66000"
"195","창동청소년센터","엔니오모리꼬네(Ennio Morricone)의영화음악감상과연주A(청소년~성인)-2/15시작","구분없음","50000"
"196","동대문청소년수련관","아침수영B-초급","중.고등학생","57000"
"197","동대문청소년수련관","아침수영C-상급(월수금)","성인","55000"
"198","동대문청소년수련관","오전수영A-중급","중.고등학생","43000"
"199","동대문청소년수련관","오전수영E-기초","중.고등학생","43000"
"200","광진청소년센터","일요바이올린(5세-성인)A","1개월(성인)","45750"
